id	repository	commit_id	question																						
1	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what's the default LoRA rank and how do I change it?																						
2	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	how does the reward scoring break down across stages?																						
3	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	What happens when a completion has zero non-empty code lines?																						
4	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what's the timeout for type checking?																						
5	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	how does degenerate output detection work?																						
6	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what penalty does a degenerate output get?																						
7	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	What optimizer is used on macOS vs Linux for GRPO training, and where is this decision made?																						
8	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what are the default learning rates for GRPO vs SFT?																						
10	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	how are syntax errors detected in the compiler output?																						
11	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	How does the graduated type error scoring work? What score does a completion get if it has exactly 3 type errors?																						
12	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what score does a solution need to be considered passing in eval?																						
13	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what happens to the reward if type checking times out?																						
15	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	when does the system prepend the function signature to a completion?																						
17	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what do I need to set before I can start training?																						
18	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what does top_entropy_quantile do and where does the idea come from?																						
19	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	What is the default temperature for GRPO sampling and what are the different ways in which it can be overridden?																						
20	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what reward score do you get if type checking passes but compilation fails?																						
21	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what is the full lifecycle of a single training step from prompt to reward computation.																						
22	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what log files does GRPO training produce?																						
23	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	how do SFT and RLVR differ in how they handle the chat template?																						
24	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what's the default GPU memory utilization for the vLLM server?																						
26	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what columns does the dataset need for RLVR vs SFT?																						
27	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	How does the system handle checkpoint resumption during GRPO training? What happens to the LoRA config?																						
29	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what API endpoints does the dashboard expose?																						
33	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	how is the SFT dataset split into train and eval?																						
35	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	Trace what happens when you run 'make rlvr-train'. What scripts and processes are started?																						
36	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what GPU does the nix flake target?																						
38	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what does _ensure_cuda_driver do?																						
